learning_rate,freeze_encoder,weight_decay,use_pos_weight,embeddings,test_acc,test_f1,test_recall,test_precision
0.0001,True,0.0001,True,"[128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,True,[256],0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,True,"[256, 128]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,True,"[256, 128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,False,"[128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,False,[256],0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,False,"[256, 128]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,True,0.0001,False,"[256, 128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,False,0.0001,True,"[128, 64]",0.670212765957447,0.0606060606060606,0.666666666666667,0.0317460317460317
0.0001,False,0.0001,True,[256],0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,False,0.0001,True,"[256, 128]",0.861702127659574,0.0714285714285714,0.333333333333333,0.04
0.0001,False,0.0001,True,"[256, 128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,False,0.0001,False,"[128, 64]",0.765957446808511,0.0833333333333333,0.666666666666667,0.0444444444444444
0.0001,False,0.0001,False,[256],0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,False,0.0001,False,"[256, 128]",0.765957446808511,0.0833333333333333,0.666666666666667,0.0444444444444444
0.0001,False,0.0001,False,"[256, 128, 64]",0.611702127659574,0.051948051948052,0.666666666666667,0.027027027027027
,,,,,,,,
Informal Tests:,,,,,,,,
0.0001,False,0.0001,False,"[128, 64]",0.75531914893617,0.08,0.666666666666667,0.0425531914893617
0.0001,False,0.0001,False,"[128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,False,0.0001,False,"[128, 64]",0.0159574468085106,0.031413612565445,1,0.0159574468085106
0.0001,False,0.0001,False,"[128, 64]",0.840425531914894,0.117647058823529,0.666666666666667,0.0645161290322581
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,[256],0.75531914893617,0.08,0.666666666666667,0.0425531914893617
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,[256],0.75531914893617,0.08,0.666666666666667,0.0425531914893617
0.0001,False,0.0001,False,"[256, 128]",0.75,0.0784313725490196,0.666666666666667,0.0416666666666667
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,[256],0.75531914893617,0.08,0.666666666666667,0.0425531914893617
0.0001,False,0.0001,False,"[256, 128]",0.75,0.0784313725490196,0.666666666666667,0.0416666666666667
0.0001,False,0.0001,False,"[256, 128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,[256],0.776595744680851,0.0869565217391304,0.666666666666667,0.0465116279069768
0.0001,False,0.0001,False,"[128, 64]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,[256],0.776595744680851,0.0869565217391304,0.666666666666667,0.0465116279069768
0.0001,False,0.0001,False,"[256, 128]",0.984042553191489,0,0,0
0.0001,False,0.0001,False,"[128, 64]",0.968085106382979,0,0,0
0.0001,False,0.0001,False,[256],0.872340425531915,0,0,0
0.0001,False,0.0001,True,[256],0.930851063829787,0.133333333333333,0.333333333333333,0.0833333333333333
0.0001,False,0.0001,True,[256],0.619047619047619,0,0,0
0.0001,False,0.0001,True,[256],0.619047619047619,0,0,0
0.0001,False,0.0001,False,[256],0.666666666666667,0.363636363636364,0.666666666666667,0.25
